2023-04-10 14:10:12===监听服务启动异常,System.Net.HttpListenerException (0x80004005): 拒绝访问。
   在 System.Net.HttpListener.AddAllPrefixes()
   在 System.Net.HttpListener.Start()
   在 Signature.Common.WebApi.startService() 位置 d:\LXD\Signature\Signature\Common\WebApi.cs:行号 82
2023-04-10 14:10:12===SDK初始化:操作成功
2023-04-10 14:10:12===创建设备返回:操作成功,设备指针:384314064
2023-04-10 14:10:12===设置消息回调函数返回:操作成功
2023-04-10 18:03:32===接收到信息[sendMsg]
2023-04-10 18:04:16===接收到信息[sendMsg]
2023-04-10 18:05:11===接收到信息[sendMsg]
2023-04-10 21:20:23===接收到信息[sendMsg]
2023-04-10 21:29:37===接收到信息[sendMsg]
2023-04-10 21:29:43===接收到信息[sendMsg]
2023-04-10 21:29:47===接收到信息[sendMsg]
2023-04-10 21:54:53===接收到信息[sendMsg]
2023-04-10 21:56:34===接收到信息[sendMsg]
2023-04-10 21:57:29===接收到信息[sendMsg]
2023-04-10 21:58:06===接收到信息[sendMsg]
2023-04-10 21:58:25===接收到信息[sendMsg]
2023-04-10 21:58:45===接收到信息[sendMsg]
2023-04-10 21:59:11===接收到信息[sendMsg]
2023-04-10 22:02:36===接收到信息[sendMsg]
2023-04-10 22:02:38===接收到信息[sendMsg]
2023-04-10 22:02:43===接收到信息[sendMsg]
2023-04-10 22:02:44===接收到信息[sendMsg]
2023-04-10 22:02:47===接收到信息[sendMsg]
2023-04-10 22:02:50===接收到信息[sendMsg]
2023-04-10 22:14:47===接收到信息[sendMsg]
2023-04-10 22:17:13===接收到信息[sendMsg]
2023-04-10 22:19:04===接收到信息[sendMsg]
2023-04-10 22:21:28===接收到信息[sendMsg]
2023-04-10 22:34:39===接收到信息[sendMsg]
2023-04-10 22:35:51===接收到信息[sendMsg]
2023-04-10 22:37:22===接收到信息[sendMsg]
2023-04-10 22:38:29===接收到信息[sendMsg]
2023-04-10 22:39:56===接收到信息[sendMsg]
2023-04-10 22:40:22===接收到信息[sendMsg]
2023-04-10 22:41:39===接收到信息[sendMsg]
